Gene name	Gene_freq	Total
OR10Q1	362	49097025
OR10T2	400	49097025
OR10J3	443	49097025
OR10P1	251	49097025
OR10R2	525	49097025
LLGL2	868	49097025
LITAF	455	49097025
LMAN1	479	49097025
LLCFC1	170	49097025
LLPH	158	49097025
LIX1L	275	49097025
LLGL1	479	49097025
LIX1	376	49097025
LKAAEAR1	57	49097025
LIPT2	76	49097025
PPP2R3B	508	49097025
PPP2R5B	317	49097025
PPP2R3A	1177	49097025
PPP2R2B	2387	49097025
PPP2R5C	939	49097025
PPP2R3C	345	49097025
PPP2R2C	1453	49097025
PPP2R5A	560	49097025
PPP2R2A	521	49097025
PPP2R2D	475	49097025
XRCC6	451	49097025
XRCC5	793	49097025
XRCC4	1202	49097025
XRN1	1351	49097025
XPR1	1366	49097025
XRCC3	327	49097025
XRCC1	498	49097025
XRN2	793	49097025
XRCC2	346	49097025
XPOT	705	49097025
OR1L8	340	49097025
OR1S2	350	49097025
OR1M1	389	49097025
OR1Q1	242	49097025
OR1N1	277	49097025
OR2A12	430	49097025
OR1L6	240	49097025
OR1N2	287	49097025
OR2A1	162	49097025
OR1S1	369	49097025
PAQR8	426	49097025
PARD3	2730	49097025
PARD3B	3232	49097025
PARD6B	362	49097025
PARD6G	617	49097025
PAQR6	215	49097025
PAQR5	637	49097025
PARD6A	162	49097025
PAQR9	353	49097025
PAQR7	177	49097025
ITGB6	919	49097025
ITGAX	1150	49097025
ITGB2	838	49097025
ITGB1BP1	239	49097025
ITGB1	655	49097025
ITGB3	783	49097025
ITGB1BP2	187	49097025
ITGB5	917	49097025
ITGB3BP	441	49097025
ITGB4	1207	49097025
UBXN11	639	49097025
UBXN4	530	49097025
UBXN2A	421	49097025
UBXN7	622	49097025
UBXN8	286	49097025
UCHL3	365	49097025
UBXN6	356	49097025
UBXN10	258	49097025
UCHL1	233	49097025
UBXN2B	371	49097025
RABL2B	179	49097025
RABL6	634	49097025
RACK1	255	49097025
RACGAP1	471	49097025
RABL3	425	49097025
RAD17	557	49097025
RAC2	308	49097025
RAD1	205	49097025
RAC1	577	49097025
RAC3	109	49097025
SEMA4D	1124	49097025
SEMA4G	540	49097025
SEMA4F	579	49097025
SEMA4B	604	49097025
SEMA6A	1152	49097025
SEMA4C	518	49097025
SEMA5B	1509	49097025
SEMA3G	513	49097025
SEMA4A	570	49097025
SEMA5A	3045	49097025
MOG	359	49097025
MON1A	338	49097025
MOCS2	223	49097025
MOCS3	300	49097025
MOGAT2	300	49097025
MOGAT3	368	49097025
MOGS	365	49097025
MOK	521	49097025
MOGAT1	338	49097025
MOCS1	581	49097025
SPIC	279	49097025
SPIN3	123	49097025
SPIB	293	49097025
SPI1	329	49097025
SPIDR	1912	49097025
SPIN2A	100	49097025
SPIN2B	69	49097025
SPHKAP	2980	49097025
SPICE1	693	49097025
SPIN1	494	49097025
TRIT1	437	49097025
TRMT10C	228	49097025
TRMT10B	246	49097025
TRMT10A	258	49097025
TRMT1	401	49097025
TRIQK	816	49097025
TRMT11	407	49097025
TRIR	103	49097025
TRIP6	315	49097025
TRMO	284	49097025
IQCJ-SCHIP1	3008	49097025
IQCF3	209	49097025
IQCE	837	49097025
IQCG	697	49097025
IQCF1	204	49097025
IQCJ	1236	49097025
IQCF2	106	49097025
IQCH	1272	49097025
IQCF5	74	49097025
IQCF6	63	49097025
SOX5	3366	49097025
SOX8	310	49097025
SOX6	2164	49097025
SOX9	985	49097025
SP1	527	49097025
SP100	1131	49097025
SOX30	642	49097025
SOX4	274	49097025
SOX7	360	49097025
SOX3	328	49097025
EPB41L3	2519	49097025
EPB42	515	49097025
EPB41	1144	49097025
EPB41L2	1305	49097025
EPC1	933	49097025
EPB41L1	1193	49097025
EPB41L4A	1440	49097025
EPB41L5	989	49097025
EPC2	937	49097025
EPB41L4B	1133	49097025
ODF2	695	49097025
ODF2L	559	49097025
ODF1	376	49097025
ODAPH	196	49097025
ODF3	165	49097025
ODF3L2	287	49097025
ODF4	155	49097025
ODF3L1	142	49097025
ODF3B	86	49097025
ODC1	253	49097025
RIMKLB	697	49097025
RILPL1	492	49097025
RILPL2	215	49097025
RIIAD1	260	49097025
RIMS1	3486	49097025
RIMKLA	432	49097025
RIMBP2	3047	49097025
RILP	154	49097025
RIMBP3C	28	49097025
RIMBP3B	101	49097025
AC010487.3	1228	49097025
AC009119.2	464	49097025
AC010255.3	180	49097025
AC010319.2	247	49097025
AC009163.4	293	49097025
AC009779.3	277	49097025
AC010325.1	189	49097025
AC010422.5	163	49097025
AC010522.1	412	49097025
AC009477.2	2	49097025
TMEM128	293	49097025
TMEM127	238	49097025
TMEM121B	262	49097025
TMEM126B	130	49097025
TMEM125	145	49097025
TMEM121	162	49097025
TMEM123	321	49097025
TMEM126A	139	49097025
TMEM120A	181	49097025
TMEM120B	630	49097025
FBXL5	483	49097025
FBXL2	679	49097025
FBXO10	667	49097025
FBXL20	894	49097025
FBXL4	649	49097025
FBXL7	2754	49097025
FBXL22	91	49097025
FBXL6	266	49097025
FBXL8	157	49097025
FBXL3	338	49097025
UCHL5	395	49097025
UCK2	578	49097025
UCP1	248	49097025
UCKL1	412	49097025
UCK1	195	49097025
UCP2	245	49097025
UCMA	239	49097025
UCN3	209	49097025
UCN	59	49097025
UCN2	60	49097025
PDCD10	431	49097025
PCYT2	309	49097025
PDCD1	412	49097025
PDCD11	953	49097025
PDAP1	175	49097025
PCYOX1L	255	49097025
PCYOX1	323	49097025
PCYT1A	527	49097025
PCYT1B	708	49097025
PDC	224	49097025
KCNAB1	2056	49097025
KCND1	397	49097025
KCNAB2	804	49097025
KCNB2	3078	49097025
KCNC2	1614	49097025
