gene	CGC	OncoKB	2020Rule	CTAT	Oncogene	TSgene
CBX7					ONC	
TGS1						
MAF	ONC				ONC	
KBTBD12						
MSH3		TSG		PSSIBLE_ONCOGENE		
TEF						
EMC9						
PCDH19						
TNFAIP1						
IL17F						
ZNF446						
CREM						TSG
DOCK6						
COL28A1						
POU3F1						
FAM174B						
IHH						
NLGN1						
LRRCC1						
TRIM58						
REPS1						
MTAP		TSG				TSG
GABRP						
COL22A1						
CLDN2						
MSX2						
SRSF10						
DHH						
DHCR7						
DPH1						TSG
TNNI3						
MMP19						
GNPTAB						
SCN3B						
VAX2						
STX19						
DENND2A						
USMG5						
ZNF574						
CFAP61						
FRMD1						
MAP3K11						
PSMD8						
AKR1B15						
TMEM57						
PLPPR5						
KCNA1						
ACTC1						
NFKB2	TSG/ONC				ONC	
ZNF462						
BMPR2						TSG
C9orf117						
CIC	TSG/ONC	TSG	TSG	PSSIBLE_TSG		TSG
SULF2						
LINGO1						
MED22						
PLS1						
ARL5A						
KRTAP10-3						
PTPRO						
HOXA9	TSG/ONC				ONC	
CFHR4						
TEX12						
CDKN1A	TSG/ONC	TSG		TSG	ONC	TSG
OR14I1						
CSPP1						
DDX25						
FUNDC1						
RAB8A					ONC	
CBFA2T2						
OPA3						
TMC2						
IGIP						
NOL8						
NDUFA13						
ARHGAP44						
CUZD1						
TRIM21						
CYP4F12						
FAM177A1						
DDX28						
GPR152						
SPERT						
ADAT3						
ZNF77						
INMT						
ZNF3						
ART5						
ULK2						
TMEM138						
RBM20						
OR8D4						
MORN2						
SAMSN1						
COL5A1						
SERPINB7						
PLA2G7						TSG
POMZP3						
NUPL1						
ZNF813						
F2RL3						
VSTM2B						
FOXA2				PSSIBLE_TSG		TSG
DUX4L1	ONC					
CCNC	TSG					TSG
RAC2		ONC				
DAPK2						TSG
TAS2R40						
CCDC59						
CFAP46						
ATP1A1	TSG/ONC					
SLC13A4						
ABCD3						
PSMD7						
FOXP1	ONC	TSG/ONC			ONC	TSG
GCLM						
UBR1						
ATCAY						
