KEGG Gene ID	KEGG Pathway ID
10484	hsa04141
10488	hsa04022|hsa04024|hsa04151|hsa04152|hsa04211|hsa04261|hsa04668|hsa04714|hsa04725|hsa04728|hsa04911|hsa04915|hsa04916|hsa04918|hsa04922|hsa04925|hsa04926|hsa04927|hsa04928|hsa04931|hsa04934|hsa04935|hsa04962|hsa05016|hsa05020|hsa05030|hsa05031|hsa05034|hsa05161|hsa05163|hsa05165|hsa05166|hsa05203|hsa05207|hsa05215
10490	hsa04130
10497	hsa04721
10498	hsa01522
10499	hsa04915|hsa04919
1050	hsa04932|hsa05200|hsa05202|hsa05221
10500	hsa04360
10501	hsa04360
10505	hsa04360
10507	hsa04360
10509	hsa04360
1051	hsa04657|hsa04668|hsa05152|hsa05202
10512	hsa04360
105180391	hsa04114|hsa04914
10520	hsa05168
10523	hsa03040
10524	hsa05017|hsa05166
10525	hsa04141
10526	hsa03013
10527	hsa03013
10528	hsa03008|hsa05017
1053	hsa05202|hsa05221
10533	hsa04136|hsa04140|hsa04216|hsa04613
10535	hsa03030
105369274	hsa04740
10538	hsa05235
1054	hsa05152
10540	hsa04962|hsa05014|hsa05016|hsa05022|hsa05132
10542	hsa04150
10544	hsa04610
10552	hsa04144|hsa04530|hsa04666|hsa04810|hsa05100|hsa05130|hsa05131|hsa05132|hsa05135
10554	hsa00561|hsa00564|hsa01100|hsa04072|hsa04975
10555	hsa00561|hsa00564|hsa01100|hsa04072|hsa04975
10556	hsa03008
10557	hsa03008
10558	hsa00600|hsa01100|hsa04071
1056	hsa00100|hsa00561|hsa01100|hsa04972|hsa04975
10560	hsa04977
10563	hsa04060|hsa04061|hsa04062
10564	hsa04144
10565	hsa04144
10568	hsa04928|hsa04978
10569	hsa03040
10572	hsa04115
10573	hsa03010
10577	hsa04142|hsa04979
10580	hsa03320|hsa04520|hsa04910
10585	hsa00514|hsa00515|hsa01100
10587	hsa00450|hsa05200|hsa05225
10588	hsa00670|hsa01100
10594	hsa03040
10599	hsa04976
10603	hsa04722|hsa04910
10606	hsa00230|hsa01100
10607	hsa03008
10610	hsa00512|hsa01100
10616	hsa04217|hsa04621|hsa05131
10617	hsa04144
10621	hsa03020|hsa04623
10622	hsa03020|hsa04623
10623	hsa03020|hsa04623
10627	hsa04360|hsa04510|hsa04530|hsa04611|hsa04670|hsa04810|hsa05131|hsa05132
10628	hsa04621
10629	hsa03022
10632	hsa00190|hsa01100|hsa04714
10636	hsa04015
10637	hsa04350|hsa04550
10640	hsa05132
10641	hsa04150
10642	hsa05206
10645	hsa04140|hsa04152|hsa04211|hsa04920|hsa04921|hsa04936|hsa05034
10652	hsa04130
10654	hsa00900|hsa01100|hsa04146
1066	hsa00983
10663	hsa04060|hsa04062
106632260	hsa03008|hsa03010
10666	hsa04514
10667	hsa00970
10670	hsa04140|hsa04150|hsa05131
10671	hsa04962|hsa05014|hsa05016|hsa05022|hsa05132
10672	hsa04022|hsa04071|hsa04072|hsa04270|hsa04371|hsa04611|hsa04730|hsa04810|hsa04928|hsa05130|hsa05163|hsa05200
10673	hsa04060|hsa04064|hsa04672|hsa05323
10678	hsa00533|hsa00601|hsa01100
10681	hsa04014|hsa04062|hsa04151|hsa04371|hsa04713|hsa04723|hsa04724|hsa04725|hsa04726|hsa04727|hsa04728|hsa04926|hsa05032|hsa05034|hsa05163|hsa05167|hsa05170|hsa05200
10682	hsa00100|hsa01100
106821730	hsa04012|hsa04014|hsa04360|hsa04510|hsa04660|hsa04810|hsa05170|hsa05211
10683	hsa01522|hsa04330|hsa04658|hsa05200|hsa05207|hsa05224
10686	hsa04514|hsa04530|hsa04670|hsa05130|hsa05160
1069	hsa03420
10690	hsa00515|hsa00601|hsa00603|hsa01100
107	hsa00230|hsa01100|hsa01522|hsa04015|hsa04020|hsa04022|hsa04024|hsa04062|hsa04072|hsa04114|hsa04211|hsa04213|hsa04261|hsa04270|hsa04371|hsa04540|hsa04611|hsa04713|hsa04714|hsa04720|hsa04723|hsa04724|hsa04725|hsa04727|hsa04750|hsa04911|hsa04912|hsa04913|hsa04914|hsa04915|hsa04916|hsa04918|hsa04921|hsa04923|hsa04925|hsa04926|hsa04927|hsa04928|hsa04934|hsa04935|hsa04970|hsa04971|hsa04972|hsa04976|hsa05032|hsa05142|hsa05146|hsa05163|hsa05166|hsa05200|hsa05207|hsa05414
107080638	hsa04150
1071	hsa04979
10713	hsa03040
10714	hsa03030|hsa03410|hsa03420|hsa03430|hsa03440
10715	hsa00600|hsa01100|hsa04071
10717	hsa04142
10718	hsa04012|hsa05014
107181291	hsa04621
1072	hsa04360|hsa04666|hsa04810|hsa05133|hsa05170
10720	hsa00040|hsa00053|hsa00140|hsa00830|hsa00860|hsa00980|hsa00982|hsa00983|hsa01100|hsa01240|hsa04976|hsa05204|hsa05207
10723	hsa04966
10724	hsa04931
10728	hsa00590|hsa01100|hsa05207
1073	hsa04360|hsa04666|hsa04810|hsa05133|hsa05170
10733	hsa04068
10734	hsa04114
10735	hsa04110
10744	hsa04110|hsa04114|hsa05166
10746	hsa04010|hsa04540|hsa04912
10747	hsa04610|hsa05150|hsa05171
1075	hsa04142|hsa04210
10758	hsa04218|hsa04657
10762	hsa03013|hsa05014
10766	hsa03018
10767	hsa03015|hsa05134
10768	hsa00270|hsa01100
10769	hsa04068
10772	hsa03040
10775	hsa03008
10780	hsa05168
10782	hsa04722
10787	hsa04810|hsa05130|hsa05132
10788	hsa04810
10791	hsa04130
10793	hsa05168
10794	hsa05168
10795	hsa05168
10797	hsa00670|hsa01100|hsa01240
10798	hsa04740
107987478	hsa00980|hsa00982|hsa01522|hsa04726
107987479	hsa00980|hsa00982|hsa01522|hsa04726
107987545	hsa04740
10799	hsa03008
108	hsa00230|hsa01100|hsa01522|hsa04015|hsa04020|hsa04022|hsa04024|hsa04062|hsa04072|hsa04114|hsa04211|hsa04213|hsa04261|hsa04270|hsa04371|hsa04540|hsa04611|hsa04713|hsa04714|hsa04723|hsa04724|hsa04725|hsa04727|hsa04750|hsa04911|hsa04912|hsa04913|hsa04914|hsa04915|hsa04916|hsa04918|hsa04921|hsa04922|hsa04923|hsa04925|hsa04926|hsa04927|hsa04928|hsa04934|hsa04935|hsa04970|hsa04971|hsa04972|hsa04976|hsa05032|hsa05163|hsa05166|hsa05200|hsa05207|hsa05414
1080	hsa02010|hsa04024|hsa04152|hsa04530|hsa04971|hsa04972|hsa04976|hsa05110
10800	hsa04020|hsa04080
10801	hsa05100|hsa05131
10802	hsa04141|hsa05130
10803	hsa04060|hsa04061|hsa04062|hsa04672
10808	hsa04141
1081	hsa04024|hsa04080|hsa04912|hsa04913|hsa04917|hsa04918|hsa04923|hsa04929|hsa05320
10810	hsa04520|hsa04666|hsa05130|hsa05132|hsa05231
10813	hsa03008
10814	hsa04721
10815	hsa04721
10818	hsa04714|hsa04722|hsa05205
10825	hsa00511|hsa00600|hsa01100
10838	hsa05168
10840	hsa00670|hsa01100
10841	hsa00340|hsa00670|hsa01100
10842	hsa04730
10846	hsa00230|hsa01100|hsa04024|hsa05032
10849	hsa03020
10850	hsa04060|hsa04061|hsa04062
10855	hsa00531|hsa01100|hsa05205
10858	hsa00120
10859	hsa04380|hsa04662
10861	hsa05208
10864	hsa04976
10870	hsa04650
10873	hsa00620|hsa01100|hsa01200|hsa03320
10874	hsa04080
10877	hsa04610
10878	hsa04610
10885	hsa03008
10886	hsa04080
10888	hsa04080
10890	hsa04144|hsa04152
10891	hsa04152|hsa04211|hsa04371|hsa04714|hsa04910|hsa04920|hsa04922|hsa04931|hsa04936|hsa05016
